,problem_link,problem_name,num_occur
541,https://leetcode.com/problems/spiral-matrix/,Spiral Matrix,13
521,https://leetcode.com/problems/subsets/,Subsets,13
161,https://leetcode.com/problems/squares-of-a-sorted-array/,Squares of a Sorted Array,13
224,https://leetcode.com/problems/binary-search/,Binary Search,13
70,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,12
433,https://leetcode.com/problems/reverse-linked-list/,Reverse Linked List,12
390,https://leetcode.com/problems/first-bad-version/,First Bad Version,12
275,https://leetcode.com/problems/boundary-of-binary-tree/,Boundary of Binary Tree,12
516,https://leetcode.com/problems/largest-rectangle-in-histogram/,Largest Rectangle in Histogram,12
231,https://leetcode.com/problems/top-k-frequent-words/,Top K Frequent Words,12
334,https://leetcode.com/problems/decode-string/,Decode String,12
525,https://leetcode.com/problems/search-a-2d-matrix/,Search a 2D Matrix,12
276,https://leetcode.com/problems/diameter-of-binary-tree/,Diameter of Binary Tree,12
45,https://leetcode.com/problems/design-parking-system/,Design Parking System,12
469,https://leetcode.com/problems/word-break-ii/,Word Break II,11
451,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Two Sum II - Input array is sorted,11
585,https://leetcode.com/problems/reverse-integer/,Reverse Integer,11
523,https://leetcode.com/problems/minimum-window-substring/,Minimum Window Substring,11
285,https://leetcode.com/problems/random-pick-with-weight/,Random Pick with Weight,11
